表1
列1	列2	列3	列4	列5	
CRACR2A	calcium release activated channel regulator 2A	EFCAB4B	MGC4266	EF-hand calcium binding domain 4B	
CRACR2B	calcium release activated channel regulator 2B	EFCAB4A	MGC45840	EF-hand calcium binding domain 4A	
CRADD	CASP2 and RIPK1 domain containing adaptor with death domain		RAIDD		
CRAMP1	cramped chromatin regulator homolog 1	CRAMP1L	KIAA1426	"Crm (Cramped Drosophila)-like, ""Crm, cramped-like (Drosophila)"""	
CRAT	carnitine O-acetyltransferase		CAT1	carnitine acetyltransferase	
CRB1	crumbs cell polarity complex component 1	RP12	LCA8	"crumbs (Drosophila) homolog 1, ""crumbs homolog 1 (Drosophila)"", ""crumbs family member 1, photoreceptor morphogenesis associated"""	
CRB2	crumbs cell polarity complex component 2		"FLJ38464, FLJ16786"	"crumbs homolog 2 (Drosophila), ""crumbs family member 2"""	
CRB3	crumbs cell polarity complex component 3		MGC17303	"crumbs homolog 3 (Drosophila), ""crumbs family member 3"""	
CRB3P1	crumbs cell polarity complex component 3 pseudogene 1			crumbs family member 3 pseudogene 1	
CRBN	cereblon	MRT2A	MRT2	"mental retardation, non-syndromic, autosomal recessive, 2A"	
CRCP	CGRP receptor component		"CGRP-RCP, RCP, RCP9"		
CRCT1	cysteine rich C-terminal 1	C1orf42	NICE-1	"chromosome 1 open reading frame 42, ""cysteine-rich C-terminal 1"""	
CREB1	cAMP responsive element binding protein 1				
CREB3	cAMP responsive element binding protein 3		"LZIP, Luman, sLZIP"	cAMP responsive element binding protein 3 (luman)	
CREB3L1	cAMP responsive element binding protein 3 like 1		OASIS		
CREB3L2	cAMP responsive element binding protein 3 like 2		"BBF2H7, TCAG_1951439"		
CREB3L3	cAMP responsive element binding protein 3 like 3		CREB-H		
CREB3L4	cAMP responsive element binding protein 3 like 4		"AIbZIP, CREB4, CREB3, hJAL, ATCE1"		
CREB5	cAMP responsive element binding protein 5		"H_GS165L15.1, CRE-BPA"		
CREBBP	CREB binding protein	RSTS	"RTS, CBP, KAT3A"	Rubinstein-Taybi syndrome	
CREBL2	cAMP responsive element binding protein like 2			cAMP responsive element binding protein-like 2	
CREBRF	CREB3 regulatory factor	C5orf41	LRF	chromosome 5 open reading frame 41	
CREBZF	CREB/ATF bZIP transcription factor		ZF		
CREG1	cellular repressor of E1A stimulated genes 1	CREG		cellular repressor of E1A-stimulated genes	
CREG2	cellular repressor of E1A stimulated genes 2				
CRELD1	cysteine rich with EGF like domains 1	AVSD2		"atrioventricular septal defect 2, ""cysteine-rich with EGF-like domains 1"", ""cysteine rich with EGF-like domains 1"""	
CRELD2	cysteine rich with EGF like domains 2		MGC11256	"cysteine-rich with EGF-like domains 2, ""cysteine rich with EGF-like domains 2"""	
CREM	cAMP responsive element modulator		hCREM-2		
CRH	corticotropin releasing hormone		"CRF, CRH1"		
CRHBP	corticotropin releasing hormone binding protein		"CRF-BP, CRFBP"	corticotropin releasing hormone-binding protein	
CRHR1	corticotropin releasing hormone receptor 1	CRHR	"CRF-R, CRF1"		
CRHR2	corticotropin releasing hormone receptor 2		"CRF2, CRF-RB, HM-CRF"		
CRIM1	cysteine rich transmembrane BMP regulator 1	S52		"cysteine-rich motor neuron 1, ""cysteine rich transmembrane BMP regulator 1 (chordin-like)"""	
CRIM1-DT	CRIM1 divergent transcript				
CRIP1	cysteine rich protein 1		CRIP	cysteine-rich protein 1 (intestinal)	
CRIP1P1	cysteine rich protein 1 pseudogene 1			cysteine-rich protein 1 (intestinal) pseudogene 1	
CRIP1P2	cysteine rich protein 1 pseudogene 2			cysteine-rich protein 1 (intestinal) pseudogene 2	
CRIP1P3	cysteine rich protein 1 pseudogene 3			cysteine-rich protein 1 (intestinal) pseudogene 3	
CRIP1P4	cysteine rich protein 1 pseudogene 4			cysteine-rich protein 1 (intestinal) pseudogene 4	
CRIP2	cysteine rich protein 2		"CRP2, ESP1"		
CRIP3	cysteine rich protein 3		"TLP-A, bA480N24.2, TLP"		
CRIPAK	cysteine rich PAK1 inhibitor		FLJ34443		
CRIPT	CXXC repeat containing interactor of PDZ3 domain		HSPC139	cysteine-rich PDZ-binding protein	
CRISP1	cysteine rich secretory protein 1	AEGL1	"CRISP-1, ARP, HUMARP, HSCRISP1D, HSCRISP1G"	acidic epididymal glycoprotein-like 1	
CRISP2	cysteine rich secretory protein 2	"GAPDL5, TPX1"	"CRISP-2, CT36"	testis specific protein 1 (probe H4-1 p3-1)	
CRISP3	cysteine rich secretory protein 3		"SGP28, CRISP-3, CRS3, dJ442L6.3, Aeg2"		
CRISPLD1	cysteine rich secretory protein LCCL domain containing 1	LCRISP1	"Cocoacrisp, DKFZp762F133"	LCCL domain containing cysteine-rich secretory protein 1	
CRISPLD2	cysteine rich secretory protein LCCL domain containing 2	LCRISP2	"DKFZP434B044, LGL1"	LCCL domain containing cysteine-rich secretory protein 2	
CRK	"CRK proto-oncogene, adaptor protein"			v-crk avian sarcoma virus CT10 oncogene homolog	
CRKL	"CRK like proto-oncogene, adaptor protein"			v-crk avian sarcoma virus CT10 oncogene homolog-like	
CRLF1	cytokine receptor like factor 1		"CLF-1, CLF, CISS, CISS1"		
CRLF2	cytokine receptor like factor 2		"CRL2, TSLPR"		
CRLF3	cytokine receptor like factor 3		"CREME9, CYTOR4"	cytokine receptor-like factor 3	
CRLS1	cardiolipin synthase 1	C20orf155	"dJ967N21.6, CLS1, GCD10"	chromosome 20 open reading frame 155	
CRMP1	collapsin response mediator protein 1		"DRP-1, DPYSL1"		
CRNDE	colorectal neoplasia differentially expressed		"LOC643911, LINC00180, CRNDEP"	colorectal neoplasia differentially expressed (non-protein coding)	
CRNKL1	crooked neck pre-mRNA splicing factor 1		"CRN, CLF, SYF3, Clf1"	"crooked neck (Drosophila Crn homolog)-like 1, ""Crn, crooked neck-like 1 (Drosophila)"", ""crooked neck pre-mRNA splicing factor-like 1 (Drosophila)"""	
CRNN	cornulin	C1orf10	SEP53	chromosome 1 open reading frame 10	
CROCC	"ciliary rootlet coiled-coil, rootletin"		"rootletin, ROLT"		
CROCC2	"ciliary rootlet coiled-coil, rootletin family member 2"				
CROCCP1	CROCC pseudogene 1	CROCCP		"ciliary rootlet coiled-coil, rootletin pseudogene"	
CROCCP2	CROCC pseudogene 2	CROCCL1	MGC12760	"ciliary rootlet coiled-coil, rootletin-like 1"	
CROCCP3	CROCC pseudogene 3	CROCCL2	KIAA1922	"ciliary rootlet coiled-coil, rootletin-like 2, ""ciliary rootlet coiled-coil, rootletin pseudogene 3"""	
CROCCP4	CROCC pseudogene 4			"ciliary rootlet coiled-coil, rootletin pseudogene 4"	
CROCCP5	CROCC pseudogene 5			"ciliary rootlet coiled-coil, rootletin pseudogene 5"	
CROT	carnitine O-octanoyltransferase		COT		
CRP	C-reactive protein		PTX1	"C-reactive protein, pentraxin-related"	
CRPP1	C-reactive protein pseudogene 1				
CRPPA	CDP-L-ribitol pyrophosphorylase A	ISPD	"hCG_1745121, IspD, Nip"	isoprenoid synthase domain containing	
CRPPA-AS1	CRPPA antisense RNA 1	ISPD-AS1		ISPD antisense RNA 1	
CRSP5	cofactor required for Sp1 transcriptional activation subunit 5		CRSP85	"cofactor required for Sp1 transcriptional activation, subunit 5 (85kD)"	
CRTAC1	cartilage acidic protein 1		"FLJ10320, CEP-68, ASPIC1"		
CRTAM	cytotoxic and regulatory T cell molecule		CD355		
CRTAP	cartilage associated protein		"CASP, LEPREL3, P3H5"		
CRTC1	CREB regulated transcription coactivator 1	MECT1	"KIAA0616, FLJ14027, TORC1"	mucoepidermoid carcinoma translocated 1	
CRTC2	CREB regulated transcription coactivator 2		TORC2		
CRTC3	CREB regulated transcription coactivator 3		FLJ21868		
CRTC3-AS1	CRTC3 antisense RNA 1				
CRX	cone-rod homeobox	CORD2	"CRD, LCA7, OTX3"		
CRY1	cryptochrome circadian regulator 1	PHLL1		"cryptochrome 1 (photolyase-like), ""cryptochrome circadian clock 1"""	
CRY2	cryptochrome circadian regulator 2			"cryptochrome 2 (photolyase-like), ""cryptochrome circadian clock 2"""	
CRYAA	crystallin alpha A	CRYA1	HSPB4	"crystallin, alpha A"	
CRYAA2	crystallin alpha A2				
CRYAB	crystallin alpha B	CRYA2	HSPB5	"crystallin, alpha B"	
CRYBA1	crystallin beta A1	CRYB1		"crystallin, beta A1"	
CRYBA2	crystallin beta A2			"crystallin, beta A2"	
CRYBA4	crystallin beta A4			"crystallin, beta A4"	
CRYBB1	crystallin beta B1			"crystallin, beta B1"	
CRYBB2	crystallin beta B2	"CCA2, CRYB2A, CRYB2"		"crystallin, beta B2"	
CRYBB2P1	crystallin beta B2 pseudogene 1	CRYB2B		"crystallin, beta B2 pseudogene 1"	
CRYBB3	crystallin beta B3	CRYB3		"crystallin, beta B3"	
CRYBG1	crystallin beta-gamma domain containing 1	"ST4, AIM1"		"suppression of tumorigenicity 4 (malignant melanoma), ""absent in melanoma 1"""	
CRYBG2	crystallin beta-gamma domain containing 2	AIM1L	FLJ38020	absent in melanoma 1 like	
CRYBG3	crystallin beta-gamma domain containing 3		DKFZp667G2110	beta-gamma crystallin domain containing 3	
CRYGA	crystallin gamma A	CRYG1	"CRYG5, CRY-g-A"	"crystallin, gamma A"	
CRYGB	crystallin gamma B	CRYG2		"crystallin, gamma 1-2, ""crystallin, gamma B"""	
CRYGC	crystallin gamma C	CRYG3		"crystallin, gamma C"	
CRYGD	crystallin gamma D	CRYG4		"crystallin, gamma D"	
CRYGEP	"crystallin gamma E, pseudogene"	"CRYG5, CCL, CRYGEP1"	G2	"crystallin, gamma E pseudogene 1, ""crystallin, gamma E, pseudogene"""	
CRYGFP	"crystallin gamma F, pseudogene"	"CRYG6, CRYGFP1"	p1	"crystallin, gamma F pseudogene 1, ""crystallin, gamma F pseudogene"""	
CRYGGP	"crystallin gamma G, pseudogene"	CRYGGP1		"crystallin, gamma G pseudogene 1, ""crystallin, gamma G, pseudogene"""	
CRYGN	crystallin gamma N			"crystallin, gamma N"	
CRYGS	crystallin gamma S	CRYG8		"crystallin, gamma S"	
CRYL1	crystallin lambda 1		"GDH, lambda-CRY, MGC149525, MGC149526"	"crystallin, lambda 1"	
CRYM	crystallin mu		DFNA40	"crystallin, mu"	
CRYM-AS1	CRYM antisense RNA 1	NCRNA00169	FLJ41766	"non-protein coding RNA 169, ""CRYM antisense RNA 1 (non-protein coding)"""	
CRYZ	crystallin zeta			"crystallin, zeta (quinone reductase)"	
CRYZL1	crystallin zeta like 1		"QOH-1, 4P11"	"crystallin, zeta (quinone reductase)-like 1"	
CRYZL2P	"crystallin zeta like 2, pseudogene"				
CRYZL2P-SEC16B	CRYZL2P-SEC16B readthrough				
CRYZP1	crystallin zeta pseudogene 1			"crystallin, zeta (quinone reductase) pseudogene 1"	
CRYZP2	crystallin zeta pseudogene 2			"crystallin, zeta (quinone reductase) pseudogene 2"	
CS	citrate synthase				
CSAD	cysteine sulfinic acid decarboxylase		"PCAP, CSD"		
CSAG1	chondrosarcoma associated gene 1		"CSAGE, CT24.1"		
CSAG2	CSAG family member 2	CSAG3B	"TRAG3, CT24.2"	"CSAG family, member 3B, ""CSAG family, member 2"""	
CSAG3	CSAG family member 3	CSAG3A		"CSAG family, member 3A, ""CSAG family, member 3"""	
CSAG4	CSAG family member 4 (pseudogene)			"CSAG family, member 4, ""CSAG family, member 4 (pseudogene)"""	
CSDC2	cold shock domain containing C2		PIPPin	"cold shock domain containing C2, RNA binding"	
CSDE1	cold shock domain containing E1		"D1S155E, UNR"	"cold shock domain containing E1, RNA binding"	
CSE1L	chromosome segregation 1 like		"CAS, XPO2, CSE1"	"chromosome segregation 1 (yeast homolog)-like, ""CSE1 chromosome segregation 1-like (yeast)"", ""CSE1 chromosome segregation 1 like"""	
CSE1L-AS1	CSE1L antisense RNA 1				
CSF1	colony stimulating factor 1		"M-CSF, MCSF, MGC31930"	colony stimulating factor 1 (macrophage)	
CSF1R	colony stimulating factor 1 receptor	FMS	"C-FMS, CSFR, CD115"	McDonough feline sarcoma viral (v-fms) oncogene homolog	
CSF2	colony stimulating factor 2		"GM-CSF, GMCSF"	colony stimulating factor 2 (granulocyte-macrophage)	
CSF2RA	colony stimulating factor 2 receptor alpha subunit	CSF2R	"CD116, alphaGMR"	"colony stimulating factor 2 receptor, alpha, low-affinity (granulocyte-macrophage)"	
CSF2RB	colony stimulating factor 2 receptor beta common subunit	IL3RB	"IL5RB, CD131, betaGMR"	"colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)"	
CSF2RBP1	colony stimulating factor 2 receptor beta common subunit pseudogene 1	CSF2RB2		"colony stimulating factor 2 receptor, beta, 2, ""colony stimulating factor 2 receptor, beta, 2 pseudogene"", ""colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) pseudogene 1"""	
CSF3	colony stimulating factor 3	"GCSF, G-CSF, C17orf33"	MGC45931	"chromosome 17 open reading frame 33, ""colony stimulating factor 3 (granulocyte)"""	
CSF3R	colony stimulating factor 3 receptor	CD114	GCSFR	colony stimulating factor 3 receptor (granulocyte)	
CSGALNACT1	chondroitin sulfate N-acetylgalactosaminyltransferase 1		"CSGalNAcT-1, FLJ11264, ChGn"		
CSGALNACT2	chondroitin sulfate N-acetylgalactosaminyltransferase 2		"GALNACT2, MGC40204, PRO0082, GALNACT-2"		
CSH1	chorionic somatomammotropin hormone 1		"hCS-A, CSA, PL, CSMT, FLJ75407"		
CSH2	chorionic somatomammotropin hormone 2		"hCS-B, CSB, CS-2"		
CSHL1	chorionic somatomammotropin hormone like 1	CSHP1	"hCS-L, CSL, CS-5, MGC149868"		
CSK	C-terminal Src kinase			"c-src tyrosine kinase, ""CSK, non-receptor tyrosine kinase"""	
CSKMT	citrate synthase lysine methyltransferase	METTL12	"U99HG, CS-KMT"	methyltransferase like 12	
CSMD1	CUB and Sushi multiple domains 1		"KIAA1890, PPP1R24"		
CSMD2	CUB and Sushi multiple domains 2		KIAA1884		
CSMD2-AS1	CSMD2 antisense RNA 1		ENST00000434181		
CSMD3	CUB and Sushi multiple domains 3				
CSN1S1	casein alpha s1	"CASA, CSN1"		"casein, alpha"	
CSN1S2AP	"casein alpha s2-like A, pseudogene"	CSN1S2A		casein alpha s2-like A	
CSN1S2BP	"casein alpha s2-like B, pseudogene"	CSN1S2B		casein alpha s2-like B	
CSN2	casein beta	CASB			
CSN3	casein kappa	CSN10		"casein, kappa"	
CSNK1A1	casein kinase 1 alpha 1		"CK1, CK1a, CK1alpha, CKIa, CKIalpha"	"casein kinase 1, alpha 1"	
CSNK1A1L	casein kinase 1 alpha 1 like		MGC33182	"casein kinase 1, alpha 1-like"	
CSNK1A1P1	casein kinase 1 alpha 1 pseudogene 1	CSNK1A1P		"casein kinase 1, alpha 1 pseudogene, ""casein kinase 1, alpha 1 pseudogene 1"""	
CSNK1A1P2	casein kinase 1 alpha 1 pseudogene 2			"casein kinase 1, alpha 1 pseudogene 2"	
CSNK1A1P3	casein kinase 1 alpha 1 pseudogene 3			"casein kinase 1, alpha 1 pseudogene 3"	
CSNK1D	casein kinase 1 delta		"HCKID, CKID, CKIdelta"	"casein kinase 1, delta"	
CSNK1E	casein kinase 1 epsilon		"HCKIE, CKIE, CKIepsilon"	"casein kinase 1, epsilon"	
CSNK1G1	casein kinase 1 gamma 1		CK1gamma1	"casein kinase 1, gamma 1"	
CSNK1G2	casein kinase 1 gamma 2		CK1g2	"casein kinase 1, gamma 2"	
CSNK1G2-AS1	CSNK1G2 antisense RNA 1	C19orf34	MGC39696	"chromosome 19 open reading frame 34, ""CSNK1G2 antisense RNA 1 (non-protein coding)"""	
CSNK1G2P1	casein kinase 1 gamma 2 pseudogene 1			"casein kinase 1, gamma 2 pseudogene 1"	
CSNK1G3	casein kinase 1 gamma 3			"casein kinase 1, gamma 3"	
CSNK2A1	casein kinase 2 alpha 1		"Cka1, Cka2"	"casein kinase 2, alpha 1 polypeptide"	
CSNK2A2	casein kinase 2 alpha 2		"CSNK2A1, CK2alpha'"	"casein kinase 2, alpha prime polypeptide"	
CSNK2A3	casein kinase 2 alpha 3	CSNK2A1P		"casein kinase 2, alpha 1 polypeptide pseudogene, ""casein kinase 2, alpha 3 polypeptide"""	
CSNK2B	casein kinase 2 beta		"Ckb1, Ckb2"	"casein kinase 2, beta polypeptide"	
CSNKA2IP	casein kinase 2 subunit alpha' interacting protein				
CSPG4	chondroitin sulfate proteoglycan 4		"MCSPG, MEL-CSPG, MSK16, NG2, MCSP, HMW-MAA"	chondroitin sulfate proteoglycan 4 (melanoma-associated)	
CSPG4P1Y	CSPG4 pseudogene 1 Y-linked	"CSPG4LYP1, CSPG4P1"		"chondroitin sulfate proteoglycan 4-like, Y-linked pseudogene 1, ""chondroitin sulfate proteoglycan 4 pseudogene 1"", ""chondroitin sulfate proteoglycan 4 pseudogene 1, Y-linked"""	
CSPG4P2Y	CSPG4 pseudogene 2 Y-linked	"CSPG4LYP2, CSPG4P2"		"chondroitin sulfate proteoglycan 4-like, Y-linked pseudogene 2, ""chondroitin sulfate proteoglycan 4 pseudogene 2"", ""chondroitin sulfate proteoglycan 4 pseudogene 2, Y-linked"""	
CSPG4P3Y	CSPG4 pseudogene 3 Y-linked	"CSPG4P3, CSPG4P6Y"		"chondroitin sulfate proteoglycan 4 pseudogene 3, ""chondroitin sulfate proteoglycan 4 pseudogene 6, Y-linked"", ""chondroitin sulfate proteoglycan 4 pseudogene 3, Y-linked"""	
CSPG4P4Y	CSPG4 pseudogene 4 Y-linked	"CSPG4P4, CSPG4P7Y"		"chondroitin sulfate proteoglycan 4 pseudogene 4, ""chondroitin sulfate proteoglycan 4 pseudogene 7, Y-linked"", ""chondroitin sulfate proteoglycan 4 pseudogene 4, Y-linked"""	
CSPG4P5	chondroitin sulfate proteoglycan 4 pseudogene 5				
CSPG4P8	chondroitin sulfate proteoglycan 4 pseudogene 8				
CSPG4P9	chondroitin sulfate proteoglycan 4 pseudogene 9				
CSPG4P10	chondroitin sulfate proteoglycan 4 pseudogene 10				
CSPG4P11	chondroitin sulfate proteoglycan 4 pseudogene 11				
CSPG4P12	chondroitin sulfate proteoglycan 4 pseudogene 12				
CSPG4P13	chondroitin sulfate proteoglycan 4 pseudogene 13				
CSPG5	chondroitin sulfate proteoglycan 5		NGC	chondroitin sulfate proteoglycan 5 (neuroglycan C)	
CSPP1	centrosome and spindle pole associated protein 1		"FLJ22490, CSPP, JBTS21"		
CSRNP1	cysteine and serine rich nuclear protein 1	AXUD1	"URAX1, DKFZp566F164, FAM130B, TAIP-3"	"AXIN1 up-regulated 1, ""cysteine-serine-rich nuclear protein 1"""	
CSRNP2	cysteine and serine rich nuclear protein 2	"C12orf22, FAM130A1"	"C12ORF2, TAIP-12, PPP1R72"	"chromosome 12 open reading frame 22, ""family with sequence similarity 130, member A1"", ""cysteine-serine-rich nuclear protein 2"""	
CSRNP3	cysteine and serine rich nuclear protein 3	FAM130A2	"FLJ32093, TAIP-2, PPP1R73"	"family with sequence similarity 130, member A2, ""cysteine-serine-rich nuclear protein 3"""	
CSRP1	cysteine and glycine rich protein 1	CYRP	"CSRP, D1S181E"		
CSRP2	cysteine and glycine rich protein 2		"SmLIM, CRP2, LMO5"		
CSRP2P1	cysteine and glycine rich protein 2 pseudogene 1	CSRP2P		cysteine and glycine rich protein 2 pseudogene	
CSRP3	cysteine and glycine rich protein 3		"CLP, MLP, CMD1M"		
CST1	cystatin SN				
CST2	cystatin SA				
CST2P1	cystatin SA pseudogene 1				
CST3	cystatin C			cystatin C (amyloid angiopathy and cerebral hemorrhage)	
CST4	cystatin S				
CST5	cystatin D				
CST6	cystatin E/M				
CST7	cystatin F			cystatin F (leukocystatin)	
CST8	cystatin 8		"CRES, CTES5"	cystatin 8 (cystatin-related epididymal specific)	
CST9	cystatin 9		"CLM, CTES7A"		
CST9L	cystatin 9 like		"bA218C14.1, CTES7B"	cystatin 9 (mouse)-like	
CST9LP1	cystatin 9-like pseudogene 1		CTES7C		
CST9LP2	cystatin 9-like pseudogene 2		CTES7D		
CST11	cystatin 11	CST8L	"dJ322G13.6, CTES2"		
CST12P	"cystatin 12, pseudogene"		"Cst, E2, Ctes4"		
CST13P	"cystatin 13, pseudogene"		"CTES6, CSTT"		
CSTA	cystatin A	"STF1, STFA"		cystatin A (stefin A)	
CSTB	cystatin B	"EPM1, STFB"	"CST6, PME"	cystatin B (stefin B)	
CSTF1	cleavage stimulation factor subunit 1			"cleavage stimulation factor, 3' pre-RNA, subunit 1, 50kD, ""cleavage stimulation factor, 3' pre-RNA, subunit 1"""	
CSTF2	cleavage stimulation factor subunit 2		CstF-64	"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kD, ""cleavage stimulation factor, 3' pre-RNA, subunit 2"""	
CSTF2T	cleavage stimulation factor subunit 2 tau variant		"DKFZp434C1013, KIAA0689, CstF-64T, tauCstF-64"	"cleavage stimulation factor, 3' pre-RNA, subunit 2, 64kDa, tau variant, ""cleavage stimulation factor, 3' pre-RNA, subunit 2, tau variant"", ""cleavage stimulation factor subunit 2, tau variant"""	
CSTF3	cleavage stimulation factor subunit 3		CstF-77	"cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kD, ""cleavage stimulation factor, 3' pre-RNA, subunit 3"""	
CSTF3-DT	CSTF3 divergent transcript	CSTF3-AS1		CSTF3 antisense RNA 1 (head to head)	
CSTL1	cystatin like 1		"dJ322G13.4, CTES1"	cystatin-like 1	
CSTP1	cystatin pseudogene 1		dJ850N15.1		
CSTP2	cystatin pseudogene 2				
CT45A1	cancer/testis antigen family 45 member A1		"CT45-1, CT45.1"		
CT45A2	cancer/testis antigen family 45 member A2		"CT45-2, CT45.2"		
CT45A3	cancer/testis antigen family 45 member A3	CT45A4	"CT45-3, CT45.3, CT45-4, CT45.4"	"cancer/testis antigen family 45, member A4"	
CT45A5	cancer/testis antigen family 45 member A5		"CT45-5, CT45.5"		
CT45A6	cancer/testis antigen family 45 member A6		"CT45-6, CT45.6"		
CT45A7	cancer/testis antigen family 45 member A7				
CT45A8	cancer/testis antigen family 45 member A8				
CT45A9	cancer/testis antigen family 45 member A9				
CT45A10	cancer/testis antigen family 45 member A10				
CT45A11P	"cancer/testis antigen family 45 member A11, pseudogene"				
CT45B1P	"cancer/testis antigen family 45 member B1, pseudogene"				
CT47A1	cancer/testis antigen family 47 member A1		CT47.1		
CT47A2	cancer/testis antigen family 47 member A2		CT47.2		
